id;nome
8093;"ARARANGUÁ - CENTRAL AUDIÊNCIA DE CUSTÓDIA"
164;"ARARANGUÁ - PRESÍDIO"
166;"BALNEÁRIO CAMBORIÚ - Presídio"
8126;"BARRA VELHA - CENTRAL AUDIÊNCIA DE CUSTÓDIA"
184;"BARRA VELHA - PRESÍDIO"
8119;"BIGUAÇÚ - CENTRAL AUDIÊNCIA DE CUSTÓDIA"
173;"BIGUAÇU - PRESÍDIO"
8094;"BLUMENAU - CENTRAL AUDIÊNCIA DE CUSTÓDIA"
8169;"BLUMENAU - CPMA"
8091;"BLUMENAU - PENITENCIÁRIA INDUSTRIAL PIB"
168;"BLUMENAU - PRESÍDIO"
8128;"BRUSQUE - CENTRAL AUDIÊNCIA DE CUSTÓDIA"
8067;"BRUSQUE - PRESÍDIO"
8129;"CAÇADOR - CENTRAL AUDIÊNCIA DE CUSTÓDIA"
160;"CAÇADOR - PRESÍDIO"
8130;"CAMPOS NOVOS - CENTRAL AUDIÊNCIA DE CUSTÓDIA"
8069;"CAMPOS NOVOS - PRESÍDIO"
8124;"CANOINHAS - CENTRAL AUDIÊNCIA DE CUSTÓDIA"
8070;"CANOINHAS - PRESÍDIO"
8064;"CAPINZAL - UPA"
11038;"CENTRAL DE REGULAÇÃO DE VAGAS"
171;"CHAPECÓ - Casa Albergado"
8170;"CHAPECÓ - CPMA"
150;"CHAPECÓ - Penitenciária"
8092;"CHAPECÓ - PENITENCIÁRIA INDUSTRIAL PICH"
163;"CHAPECÓ - Presídio"
8133;"CHAPECÓ - PRESIDIO FEMININO - CENTRAL AUDIÊNCIA DE CUSTÓDIA"
8095;"CHAPECÓ - PRESIDIO MASCULINO - CENTRAL AUDIÊNCIA DE CUSTÓDIA"
8139;"CHAPECÓ - PRESÍDIO REGIONAL FEMININO"
8096;"CONCÓRDIA - CENTRAL AUDIÊNCIA DE CUSTÓDIA"
165;"CONCÓRDIA - PRESÍDIO"
8035;"CORREIA PINTO - UPA"
8097;"CRICIÚMA - CENTRAL AUDIÊNCIA DE CUSTÓDIA"
8171;"CRICIÚMA - CPMA"
8111;"CRICIÚMA - PENITENCIÁRIA FEMININA"
8065;"CRICIÚMA - PENITENCIÁRIA SUL"
157;"CRICIÚMA - PRESÍDIO"
8118;"CURITIBANOS - CENTRAL AUDIÊNCIA DE CUSTÓDIA"
151;"CURITIBANOS - PENITENCIÁRIA"
190;"CURITIBANOS - UPA"
8160;"DIRETORIA DE SEGURANÇA E OPERAÇÕES"
170;"FLORIANÓPOLIS - CASA DO ALBERGADO"
8114;"FLORIANÓPOLIS - CENTRAL AUDIÊNCIA DE CUSTÓDIA CASA DO ALBERGADO"
8090;"FLORIANÓPOLIS - CENTRAL AUDIÊNCIA DE CUSTÓDIA PENITENCIÁRIA"
8113;"FLORIANÓPOLIS - CENTRAL AUDIÊNCIA DE CUSTÓDIA PRESÍDIO FEMININO"
8112;"FLORIANÓPOLIS - CENTRAL AUDIÊNCIA DE CUSTÓDIA PRESÍDIO MASCULINO"
8162;"FLORIANÓPOLIS - Central de Regime Aberto"
8076;"FLORIANÓPOLIS - Central de Triagem da Trindade"
